书名,链接,信息,评分,评价人数,描述
飞鸟集,https://book.douban.com/subject/1058661/,[印] 罗宾德拉纳德·泰戈尔 / 徐翰林 / 哈尔滨出版社 / 2004-6 / 16.80元,8.8,(27267人评价),淡泊，超脱
,,,,,
查令十字街84号,https://book.douban.com/subject/1316648/,[美] 海莲·汉芙 / 陈建铭 / 译林出版社 / 2005-05-01 / 18.00元,8.3,(28909人评价),文艺青年的爱情地标
,,,,,
匆匆那年（上下）,https://book.douban.com/subject/2567919/,九夜茴 / 东方出版社 / 2008-1 / 29.00,8.3,(28437人评价),不悔梦归处 只恨太匆匆
,,,,,
往事并不如烟,https://book.douban.com/subject/1059336/,章诒和 / 人民文学出版社 / 2004-1 / 35.00元,8.6,(27211人评价),知识分子的命运浮沉
,,,,,
伊豆的舞女,https://book.douban.com/subject/1005521/,[日] 川端康成 / 叶渭渠 / 广西师范大学出版社 / 2002-2 / 23.80元,8.2,(28897人评价),静美又残酷，无限柔软的川端
,,,,,
江城,https://book.douban.com/subject/7060185/,[美] 彼得·海斯勒 / 李雪顺 / 上海译文出版社 / 2012-1 / 36.00元,9,(25747人评价),外国人的寻路中国
,,,,,
书名,链接,信息,评分,评价人数,描述
,,,,,
世界尽头与冷酷仙境,https://book.douban.com/subject/1291809/,[日] 村上春树 / 林少华 / 上海译文出版社 / 2002-12 / 23.00元,8.6,(27329人评价),交叉平行蒙太奇
,,,,,
把时间当作朋友:运用心智获得解放,https://book.douban.com/subject/3609132/,李笑来 / 电子工业出版社 / 2009-6 / 32.00元,8.5,(27586人评价),反成功学的成功学
,,,,,
影响力,https://book.douban.com/subject/1786387/,[美] 罗伯特·西奥迪尼 / 陈叙 / 中国人民大学出版社 / 2006-5 / 45.00元,8.6,(26826人评价),营销防骗指南
,,,,,
富爸爸，穷爸爸,https://book.douban.com/subject/1033778/,（美）罗伯特?T?清崎 / 杨君，杨明 / 世界图书出版公司 / 2000-09 / 18.80,8.2,(28031人评价),人穷穷观念，人富钱生钱
,,,,,
倚天屠龙记(共四册),https://book.douban.com/subject/1070851/,金庸 / 三联书店 / 1999-04 / 0,8.5,(27062人评价),不识张郎是张郎
,,,,,
中国历代政治得失,https://book.douban.com/subject/1003479/,钱穆 / 生活·读书·新知三联书店 / 2001 / 12.00元,9.1,(25080人评价),一部简明的“中国政治制度史”
,,,,,
冰与火之歌（卷一）:权力的游戏,https://book.douban.com/subject/1336330/,[美] 乔治·R. R. 马丁 / 谭光磊 / 重庆出版社 / 2005-5 / 68.00元,9.3,(24435人评价),凛冬将至。无比宏大的世界观
,,,,,
七夜雪,https://book.douban.com/subject/1919201/,沧月 / 北京十月文艺出版社 / 2006-10 / 25.00元,8.4,(26607人评价),抵不过时间
,,,,,
那些年，我们一起追的女孩,https://book.douban.com/subject/1958227/,九把刀 / 花山文艺出版社 / 2007-1 / 20.00元,8.2,(27399人评价),那些年错过的大雨
,,,,,
ZOO,https://book.douban.com/subject/2297697/,[日] 乙一 / 李颖秋 / 当代世界出版社 / 2007-10 / 20.00元,8.6,(25957人评价),噩梦中的一丝温度
,,,,,
蔷薇岛屿,https://book.douban.com/subject/1063190/,安妮宝贝 / 作家出版社 / 2002-8 / 18.00元,8,(28072人评价),你们不会彼此遗忘。只会彼此消失
,,,,,
红与黑,https://book.douban.com/subject/1007433/,司汤达 / 郭宏安 / 译林出版社 / 1993-7-1 / 20.00,8.2,(27580人评价),阴谋与爱情
,,,,,
朝花夕拾,https://book.douban.com/subject/1449352/,鲁迅 / 人民文学出版社 / 1972年4月 / 0.25元,8.7,(25728人评价),鲁迅的旧事重提
,,,,,
阿狸·梦之城堡,https://book.douban.com/subject/3554154/,hans / 上海锦绣文章出版社 / 2009-1 / 36.80元,9,(24460人评价),治愈
,,,,,
时间简史:插图本,https://book.douban.com/subject/1034282/,[英] 史蒂芬·霍金 / 许明贤 / 湖南科学技术出版社 / 2010-4 / 45.00元,8.8,(24966人评价),霍金与上帝的战争
,,,,,
天使与魔鬼,https://book.douban.com/subject/1228110/,[美] 丹.布朗 / 朱振武 / 人民文学出版社 / 2005-2 / 29.80元,8.2,(26923人评价),科学与宗教的大乱斗
,,,,,
水浒传（全二册）,https://book.douban.com/subject/1008357/,[明] 施耐庵 / 人民文学出版社 / 1997-1 / 50.60元,8.5,(25250人评价),风风火火闯九州
,,,,,
最初的爱情最后的仪式,https://book.douban.com/subject/4011440/,[英] 伊恩·麦克尤恩 / 潘帕 / 南京大学出版社 / 2010-2 / 22.00元,8,(27210人评价),别被封面骗了
,,,,,
陆犯焉识,https://book.douban.com/subject/6880158/,严歌苓 / 作家出版社 / 2011-10 / 35.00元,8.8,(23961人评价),翻手为苍凉，覆手为繁华
,,,,,
杀死一只知更鸟,https://book.douban.com/subject/6781808/,[美] 哈珀·李 / 高红梅 / 译林出版社 / 2012-9 / 32.00元,9.2,(22884人评价),有一种东西不能遵循从众原则，那就是——人的良心
,,,,,
国境以南太阳以西,https://book.douban.com/subject/1015452/,[日] 村上春树 / 林少华 / 上海译文出版社 / 2001-8 / 13.50元,8.3,(25733人评价),灾星下出生的恋人们
,,,,,
佛祖在一号线,https://book.douban.com/subject/4872671/,李海鹏 / 文化艺术出版社 / 2010-6 / 25.00元,8.2,(25749人评价),嬉笑怒骂的常识分子
,,,,,
最好的我们,https://book.douban.com/subject/24754316/,八月长安 / 湖南文艺出版社 / 2013-8-5 / 55,8.8,(23159人评价),耿耿余淮
,,,,,
西游记（全二册）,https://book.douban.com/subject/1029553/,吴承恩 / 黄肃秋 注释 / 人民文学出版社 / 2004-8 / 47.20元,8.8,(23657人评价),取经之路就在脚下
,,,,,
雷雨,https://book.douban.com/subject/1013416/,曹禺 / 人民文学出版社 / 1999-05 / 9.20,8.5,(24626人评价),人的心都靠不住，我并不是说人坏，我就是恨人性太弱，太容易变了
,,,,,
书名,链接,信息,评分,评价人数,描述
,,,,,
生活在别处,https://book.douban.com/subject/1013225/,[捷克] 米兰·昆德拉 / 袁筱一 / 上海译文出版社 / 2004-5 / 25.00元,8.4,(25011人评价),此处的生活唯有残酷
,,,,,
瓦尔登湖,https://book.douban.com/subject/1865089/,[美] 梭罗 / 徐迟 / 上海译文出版社 / 2006-8 / 11.00元,8.4,(24751人评价),另一种生活
,,,,,
心是孤独的猎手,https://book.douban.com/subject/1424741/,[美] 卡森·麦卡勒斯 / 陈笑黎 / 上海三联书店 / 2005-8 / 25.00元,8.5,(23953人评价),镇上有两个哑巴，他们总是在一起。
,,,,,
自控力:斯坦福大学最受欢迎心理学课程,https://book.douban.com/subject/10786473/,[美]  凯利·麦格尼格尔 / 王岑卉 / 文化发展出版社(原印刷工业出版社) / 2012-8 / 39.80元,8.3,(24666人评价),要么瘦，要么死
,,,,,
京华烟云,https://book.douban.com/subject/1391191/,林语堂 / 张振玉 / 陕西师范大学出版社 / 2005-7 / 43.00元,8.5,(23905人评价),林语堂的《红楼梦》
,,,,,
设计中的设计,https://book.douban.com/subject/1941558/,[日] 原研哉 / 朱锷 / 山东人民出版社 / 2006-11 / 48.00元,8.6,(23360人评价),日常生活的无限可能性
,,,,,
我执,https://book.douban.com/subject/3642673/,梁文道 / 广西师范大学出版社 / 2010-10 / 35.00元,8,(25142人评价),梁文道的私密日记
,,,,,
夏洛的网,https://book.douban.com/subject/1036274/,[美] E.B.怀特 / 任溶溶 / 上海译文出版社 / 2004-5 / 17.00元,8.5,(23351人评价),猪与蜘蛛
,,,,,
狂人日记,https://book.douban.com/subject/1398395/,鲁迅 / 京华出版社 / 2006-3 / 39.80元,8.7,(22918人评价),中国现代文学史上第一篇真正的现代白话小说
,,,,,
变形记:卡夫卡小说,https://book.douban.com/subject/1213546/,[奥] 卡夫卡 / 叶廷芳 / 浙江文艺出版社 / 2003-4 / 16.00元,8.4,(23799人评价),格里高里清早醒来发现自己变成了甲虫
,,,,,
偷书贼,https://book.douban.com/subject/2180619/,[澳] 马克斯·苏萨克 / 孙张静 / 南海出版公司 / 2007-8 / 25.00元,8,(24737人评价),不能说偷，是窃，窃你懂吗
,,,,,
没有色彩的多崎作和他的巡礼之年,https://book.douban.com/subject/25733470/,[日] 村上春树 / 施小炜 / 南海出版公司 / 2013-10-1 / 39.50元,8.2,(23884人评价),并不是一切都消失在了时间的长河里
,,,,,
海底两万里,https://book.douban.com/subject/1085470/,[法国] 儒尔·凡尔纳 / 沈国华 / 译林出版社 / 2002-9 / 19.50元,8.4,(23474人评价),你听说过鹦鹉螺号吗？
,,,,,
激荡三十年（上）:中国企业1978-2008,https://book.douban.com/subject/1970428/,吴晓波 / 中信出版社 浙江人民出版社 / 2007-1 / 35.00,8.8,(21843人评价),这是一个最好的时代，也是一个最坏的时代
,,,,,
文学回忆录（全2册）:1989—1994,https://book.douban.com/subject/20440644/,木心 口述 / 广西师范大学出版社 / 2013-1-10 / 98.00元,9.2,(20662人评价),木心留给世界的礼物
,,,,,
人性的弱点全集,https://book.douban.com/subject/1056295/,[美] 戴尔·卡耐基 / 袁玲 / 中国发展出版社 / 2008-1 / 25.00元,8.3,(22733人评价),西方世界最持久的人文畅销书
,,,,,
一句顶一万句,https://book.douban.com/subject/3633461/,刘震云 / 长江文艺出版社 / 2009-3 / 29.80,8.7,(21611人评价),一句胜过千年
,,,,,
九州·缥缈录,https://book.douban.com/subject/1321017/,江南 / 新世界出版社 / 2005-6 / 20.00元,8.8,(20841人评价),乱世的英雄史诗
,,,,,
你今天真好看,https://book.douban.com/subject/26602392/,[美]莉兹?克里莫 / 周高逸 / 雅众文化/天津人民出版社 / 2015-8 / 39.00元,8.7,(21459人评价),呆萌可爱的动物段子手
,,,,,
呼兰河传:1947年版本?原版珍藏,https://book.douban.com/subject/1060852/,萧红 / 百花文艺出版社 / 2005-01 / 19.00,8.9,(20925人评价),萧红的童年往事
,,,,,
尼罗河上的惨案,https://book.douban.com/subject/1818347/,[英] 阿加莎·克里斯蒂 / 宫英海 / 人民文学出版社 / 2006-5 / 22.00元,8.7,(21304人评价),阿婆代表作之一
,,,,,
我与地坛:史铁生代表作,https://book.douban.com/subject/1209899/,史铁生 / 春风文艺出版社 / 2002-5 / 25.00元,9,(19999人评价),这是你的罪孽与福祉
,,,,,
人生,https://book.douban.com/subject/3803820/,路遥 / 北京十月文艺出版社 / 2009-5 / 20.00元,8.4,(21334人评价),如果你是高加林，你要如何选择？
,,,,,
我的精神家园:王小波杂文自选集,https://book.douban.com/subject/1014578/,王小波 / 文化艺术出版社 / 1997 / 18.80元,9.1,(19626人评价),活过，爱过，写过
,,,,,
占星术杀人魔法,https://book.douban.com/subject/3187737/,[日] 岛田庄司 / 王鹏帆 / 新星出版社 / 2008-9 / 28.00,8.3,(21176人评价),一桩占星术连续杀人案件
,,,,,
书名,链接,信息,评分,评价人数,描述
,,,,,
浪潮之巅,https://book.douban.com/subject/6709783/,吴军 / 电子工业出版社 / 2011-8 / 55.00元,9.1,(19333人评价),了解IT领域的入门读物
,,,,,
浮生六记,https://book.douban.com/subject/1088581/,（清）沈复 / 人民文学出版社 / 1999/1 / 5.70元,8.9,(20009人评价),no description
,,,,,
舞！舞！舞！,https://book.douban.com/subject/1020670/,[日] 村上春树 / 林少华 / 上海译文出版社 / 2002-6 / 25.00元,8.3,(21343人评价),深入村上春树的心灵腹地
,,,,,
野火集:二十年纪念版,https://book.douban.com/subject/1426971/,龙应台 / 文汇出版社 / 2005-8 / 25.00元,8.8,(19970人评价),中国人你为什么不生气？
,,,,,
妻妾成群,https://book.douban.com/subject/1025753/,苏童 / 上海文艺出版社 / 2004-8 / 23.00元,8.2,(21567人评价),no description
,,,,,
高效能人士的七个习惯（精华版）,https://book.douban.com/subject/1048007/,[美] 史蒂芬·柯维 / 高新勇 / 中国青年出版社 / 2011-6 / 29.00元,8.2,(20813人评价),no description
,,,,,
海子的诗,https://book.douban.com/subject/1011754/,海子 / 人民文学出版社 / 1999-04 / 15.40,8.9,(18659人评价),no description
,,,,,
项链:莫泊桑中短篇小说选,https://book.douban.com/subject/1258498/,[法] 莫泊桑 / 顾加琛 等 / 河北教育出版社 / 2005-2 / 28.00元,8.3,(20133人评价),no description
,,,,,
教父,https://book.douban.com/subject/1092335/,[美]马里奥·普佐 / 周汉林 / 译林出版社 / 1997-8 / 23.30元,9,(18295人评价),no description
,,,,,
娱乐至死,https://book.douban.com/subject/1062193/,[美] 尼尔·波兹曼 / 章艳 / 广西师范大学出版社 / 2011-6 / 29.80元,8.6,(19244人评价),no description
,,,,,
观念的水位,https://book.douban.com/subject/20463108/,刘瑜 / 浙江大学出版社 / 2013-1 / 36.00元,8.3,(19614人评价),no description
,,,,,
父与子全集,https://book.douban.com/subject/1002898/,[德] 埃·奥·卜劳恩 绘 / 杨莹 / 中国工人出版社 / 2003-4 / 20.00元,9.1,(17536人评价),no description
,,,,,
罗杰疑案,https://book.douban.com/subject/1807516/,[英] 阿加莎·克里斯蒂 / 张江云 / 人民文学出版社 / 2006-5 / 21.00元,8.9,(18004人评价),no description
,,,,,
中国大历史,https://book.douban.com/subject/1015699/,黄仁宇 / 生活·读书·新知三联书店 / 2007-2 / 19.00元,8.3,(19695人评价),no description
,,,,,
寻羊冒险记,https://book.douban.com/subject/1031740/,[日] 村上春树 / 林少华 / 上海译文出版社 / 2001-8 / 18.80元,8.1,(19967人评价),no description
,,,,,
带一本书去巴黎,https://book.douban.com/subject/1001885/,林达 / 生活·读书·新知三联书店 / 2002-5 / 35.00元,8.5,(18917人评价),no description
,,,,,
动物凶猛,https://book.douban.com/subject/1143694/,王朔 / 中国电影出版社 / 2004-2 / 15.5,8.3,(19679人评价),no description
,,,,,
子不语1,https://book.douban.com/subject/4188697/,夏达 / 新世纪出版社 / 2009-12 / RMB36.00,9,(17622人评价),no description
,,,,,
巨流河,https://book.douban.com/subject/4842446/,齐邦媛 / 生活·读书·新知三联书店 / 2010-10 / 39.00元,8.7,(18500人评价),no description
,,,,,
小姨多鹤,https://book.douban.com/subject/3012517/,严歌苓 / 作家出版社 / 2008-4 / 28.00元,8.6,(18586人评价),no description
,,,,,
第一炉香,https://book.douban.com/subject/1082162/,张爱玲 / 花城出版社 / 1997-3 / 11.5,8.4,(19042人评价),no description
,,,,,
斯通纳,https://book.douban.com/subject/26425831/,[美] 约翰·威廉斯 / 杨向荣 / 世纪文景/上海人民出版社 / 2016-1 / 39.00元,8.8,(17855人评价),no description
,,,,,
芳华,https://book.douban.com/subject/27010212/,严歌苓 / 人民文学出版社 / 2017-4-1 / CNY 39.00,8.1,(19447人评价),no description
,,,,,
爱的艺术,https://book.douban.com/subject/3026879/,[美] 艾·弗洛姆 / 李健鸣 / 上海译文出版社 / 2008-4 / 15.00元,8.8,(17726人评价),no description
,,,,,
退步集,https://book.douban.com/subject/1003284/,陈丹青 / 广西师范大学出版社 / 2005-1 / 38.00元,8.1,(19398人评价),no description
