书名,链接,信息,评分,评价人数,描述
少有人走的路:心智成熟的旅程,https://book.douban.com/subject/1775691/,[美] M·斯科特·派克 / 于海生 / 吉林文史出版社 / 2007-1 / 26.00元,8.4,(60499人评价),成熟的心智通向更完善的自我
,,,,,
基督山伯爵,https://book.douban.com/subject/1085860/,大仲马 / 周克希 / 上海译文出版社 / 1991-12-1 / 43.90元,9,(55865人评价),完美的复仇，金庸用法语写作应该就是这样
,,,,,
人类简史:从动物到上帝,https://book.douban.com/subject/25985021/,[以色列]尤瓦尔·赫拉利 / 林俊宏 / 中信出版社 / 2014-11-1 / CNY 68.00,9.1,(54239人评价),跟着人类一同走过十万年
,,,,,
1984,https://book.douban.com/subject/4820710/,[英] 乔治·奥威尔 / 刘绍铭 / 北京十月文艺出版社 / 2010-4-1 / 28.00,9.3,(52496人评价),栗树荫下，我出卖你，你出卖我
,,,,,
笑傲江湖（全四册）,https://book.douban.com/subject/1002299/,金庸 / 生活·读书·新知三联书店 / 1994-5 / 76.80元,9,(54161人评价),武侠的壳，政治斗争的核
,,,,,
民主的细节:美国当代政治观察随笔,https://book.douban.com/subject/3813669/,刘瑜 / 上海三联书店 / 2009-6 / 25.00,8.6,(56832人评价),公民养成手册
,,,,,
福尔摩斯探案全集（上中下）,https://book.douban.com/subject/1040211/,[英] 阿·柯南道尔 / 丁钟华 等 / 群众出版社 / 1981-8 / 53.00元/68.00元,9.2,(51553人评价),侦探小说鼻祖
,,,,,
人间失格,https://book.douban.com/subject/4011670/,太宰治 / 许时嘉 / 吉林出版集团有限责任公司 / 2009年9月 / 16.00元,8.3,(58449人评价),令人无从怜悯的绝望
,,,,,
无声告白,https://book.douban.com/subject/26382433/,[美] 伍绮诗 / 孙璐 / 江苏凤凰文艺出版社 / 2015-7 / 35.00元,8.2,(57953人评价),莉迪亚死了，可他们还不知道
,,,,,
遇见未知的自己,https://book.douban.com/subject/2340100/,张德芬 / 华夏出版社 / 2008-1 / 29.00,8.1,(57204人评价),都市灵修速成
,,,,,
情书,https://book.douban.com/subject/1080370/,[日] 岩井俊二 / 穆晓芳 / 天津人民出版社 / 2004-7 / 18.00元,8.6,(51857人评价),一场误会中的两段爱情，东方式的含蓄隐忍
,,,,,
茶花女,https://book.douban.com/subject/1013380/,小仲马 / 王振孙 / 外国文学出版社 / 1997-3 / 9.00元,8.2,(54922人评价),妓女应当拥有爱情吗？
,,,,,
白鹿原,https://book.douban.com/subject/1085799/,陈忠实 / 人民文学出版社 / 1997-12 / 28.00元,8.6,(50168人评价),中国乡村史诗
,,,,,
一个陌生女人的来信,https://book.douban.com/subject/2154960/,[奥] 斯台芬·茨威格 / 张玉书 / 上海译文出版社 / 2007-7 / 20.00元,8.7,(50774人评价),暗恋的极致
,,,,,
神雕侠侣,https://book.douban.com/subject/1255624/,金庸 / 有1996年11月北平第4次印本 / 生活·读书·新知三联书店 / 1994-5 / 76.80元,8.8,(49035人评价),至情至性，情大于武
,,,,,
书名,链接,信息,评分,评价人数,描述
,,,,,
沉默的大多数:王小波杂文随笔全编,https://book.douban.com/subject/1054685/,王小波 / 中国青年出版社 / 1997-10 / 27.00元,9.1,(47823人评价),沉默是沉默者的通行证
,,,,,
当我谈跑步时我谈些什么,https://book.douban.com/subject/3369600/,[日] 村上春树 / 施小炜 / 南海出版公司 / 2009-1 / 25.00,8.1,(50474人评价),村上同志告诉我们，身体是革命的本钱
,,,,,
东方快车谋杀案,https://book.douban.com/subject/1827374/,[英] 阿加莎·克里斯蒂 / 陈尧光 / 人民文学出版社 / 2006-5 / 18.00元,9,(44330人评价),谋杀诡计惊人，波洛的抉择耐人寻味
,,,,,
这些人，那些事,https://book.douban.com/subject/6388661/,吴念真 / 译林出版社 / 2011-9 / 28.00元,8.8,(45421人评价),平淡叙述下的惊心动魄
,,,,,
肖申克的救赎,https://book.douban.com/subject/1829226/,[美] 斯蒂芬·金 / 施寄青 / 人民文学出版社 / 2006-7 / 29.90元,9.1,(43207人评价),希望让人自由，电影实在太有名
,,,,,
鲁滨逊漂流记,https://book.douban.com/subject/1016003/,[英] 笛福 / 马静 / 广西民族出版社 / 2002-1 / 9.20元,8,(49832人评价),最早的荒野求生
,,,,,
这些都是你给我的爱,https://book.douban.com/subject/4714734/,文：安东尼 / 长江文艺出版社 / 2010-3 / 24.80元,8.4,(45909人评价),只言片语的温暖
,,,,,
局外人,https://book.douban.com/subject/4908885/,[法] 阿尔贝·加缪 / 柳鸣九 / 上海译文出版社 / 2010-9 / 22.00元,9,(43264人评价),人生在世，永远也不该演戏作假
,,,,,
巴黎圣母院,https://book.douban.com/subject/1024197/,[法]雨果 / 陈敬容 / 人民文学出版社 / 1982-6 / 22.50元,8.3,(46013人评价),潜藏于残缺下的美与崇高
,,,,,
羊脂球,https://book.douban.com/subject/1205370/,（法）莫泊桑 / 柳鸣九 / 北京燕山出版社 / 2007-6 / 13.50元,8.1,(47218人评价),资产阶级的道貌岸然
,,,,,
喜宝,https://book.douban.com/subject/2022979/,亦舒 / 新世界出版社 / 2007-2 / 22.00元,8,(47248人评价),爱情才是终极的奢侈品
,,,,,
陪安东尼度过漫长岁月,https://book.douban.com/subject/3014576/,安东尼 / 长江文艺出版社 / 2008-3 / 18.00,8.3,(44303人评价),真正的片段式写作
,,,,,
呐喊,https://book.douban.com/subject/1449351/,鲁迅 / 人民文学出版社 / 1973年3月 / 0.36元,8.8,(41265人评价),新文学的第一声呐喊
,,,,,
无人生还,https://book.douban.com/subject/3006581/,[英] 阿加莎?克里斯蒂 / 祁阿红 / 人民文学出版社 / 2008-3 / 19.00,8.9,(40926人评价),童谣杀人案
,,,,,
红玫瑰与白玫瑰,https://book.douban.com/subject/1014278/,张爱玲 / 花城出版社 / 1996-06 / 12.80元,8.4,(43721人评价),蚊子血还是饭黏子？
,,,,,
巨人的陨落:世纪三部曲,https://book.douban.com/subject/26698660/,[英] 肯·福莱特 / 于大卫 / 江苏凤凰文艺出版社 / 2016-5-1 / 129.80元,8.9,(40187人评价),五个家族，一场战争
,,,,,
爱你就像爱生命,https://book.douban.com/subject/3071717/,王小波 / 上海锦绣文章出版社 / 2008-5 / 18.00元,8.8,(41219人评价),王小波与李银河的两地书
,,,,,
华胥引（全二册）,https://book.douban.com/subject/5916880/,唐七公子 / 现代出版社 / 2011-1 / 39.80元,8.4,(42371人评价),现实不如梦中的圆满
,,,,,
了不起的盖茨比,https://book.douban.com/subject/1008988/,菲茨杰拉德 / 姚乃强 / 人民文学出版社 / 2004-06 / 12.00元,8.3,(43167人评价),梦，就像黛西家的那一缕绿光
,,,,,
乌合之众:大众心理研究,https://book.douban.com/subject/1012611/,（法）勒庞 / 冯克利 / 中央编译出版社 / 2011-5-1 / 16.00元,8.3,(43309人评价),群氓心理剖析
,,,,,
鬼吹灯之精绝古城:之精绝古城,https://book.douban.com/subject/1882933/,天下霸唱 / 安徽文艺出版社 / 2006 / 25.0,8.1,(42931人评价),盗墓祖师名不虚传
,,,,,
动物农场,https://book.douban.com/subject/2035179/,[英] 乔治·奥威尔 / 荣如德 / 上海译文出版社 / 2007-3 / 10.00元,9.2,(37914人评价),太阳底下并无新事
,,,,,
安徒生童话故事集,https://book.douban.com/subject/1046209/,（丹麦）安徒生 / 叶君健 / 人民文学出版社 / 1997-08 / 25.00,9.2,(37865人评价),远不是童话那么简单
,,,,,
半生缘,https://book.douban.com/subject/1963684/,张爱玲 / 北京十月文艺出版社 / 2006-12 / 28.00元,8.6,(39980人评价),世钧，我们回不去了
,,,,,
地下铁,https://book.douban.com/subject/1056733/,幾米 / 辽宁教育出版社 / 2002-2 / 32.00元,8.3,(40481人评价),黑暗世界中的点滴亮光
,,,,,
书名,链接,信息,评分,评价人数,描述
,,,,,
骆驼祥子,https://book.douban.com/subject/1043815/,老舍 / 人民文学出版社 / 2000-3-1 / 12.00,8.3,(39482人评价),如骆驼喘息般深刻的绝望
,,,,,
射雕英雄传（全四册）,https://book.douban.com/subject/1044547/,金庸 / 生活·读书·新知三联书店 / 1999-04 / 47.00元,8.9,(35326人评价),侠之大者，为国为民
,,,,,
月亮忘記了,https://book.douban.com/subject/1358873/,幾米 / 格林 / 2000-2-1 / NT$ 299,8.6,(36501人评价),月明星稀的晚上，看不见的，看见了
,,,,,
此间的少年,https://book.douban.com/subject/1020459/,江南 / 华文出版社 / 2004-1 / 25.00元,8.4,(37052人评价),象牙塔里的金庸群侠
,,,,,
如何阅读一本书,https://book.douban.com/subject/1013208/,[美] 莫提默·J. 艾德勒 / 郝明义 / 商务印书馆 / 2004-1 / 38.00元,8.4,(36812人评价),读书的方法论
,,,,,
孤独六讲,https://book.douban.com/subject/4124727/,蒋勋 / 广西师范大学出版社 / 2009-10-1 / 36.00元,8.1,(38424人评价),作为一种美学的孤独
,,,,,
一個人住第5年,https://book.douban.com/subject/1346815/,高木直子 / 洪俞君 / 大田 / 2004-12-1 / NT$220,8.4,(35776人评价),独居生活之乐
,,,,,
步步惊心,https://book.douban.com/subject/1812439/,桐华 / 民族出版社 / 2006-6 / 25.00元,8.1,(36664人评价),现世太苦，不如穿越回去从头来过
,,,,,
一个人的朝圣,https://book.douban.com/subject/24934182/,【英】蕾秋·乔伊斯 / 黄妙瑜 / 北京联合出版公司 / 2013-9-1 / 32.80,8.1,(36762人评价),关于爱和信念的旅行
,,,,,
常识,https://book.douban.com/subject/3344676/,梁文道 / 广西师范大学出版社 / 2009-1 / 38.00,8.1,(36627人评价),献给这个常识稀缺的时代
,,,,,
阿Q正传,https://book.douban.com/subject/1088065/,鲁迅 / 上海书店出版社 / 2003-7 / 14.50元,8.7,(33746人评价),哀其不幸，怒其不争
,,,,,
寻路中国:从乡村到工厂的自驾之旅,https://book.douban.com/subject/5414391/,[美] 彼得·海斯勒 / 李雪顺 / 上海译文出版社 / 2011-1 / 33.00元,9,(32388人评价),中国在路上，非虚构写作所能达到的高度
,,,,,
时间旅行者的妻子,https://book.douban.com/subject/2056749/,[美] 奥德丽·尼芬格 / 夏金 / 人民文学出版社 / 2007-4 / 29.90元,8.1,(36232人评价),在时间的缝隙中穿行，然后相遇
,,,,,
荆棘鸟,https://book.douban.com/subject/1086249/,[澳] 考琳·麦卡洛 / 曾胡 / 译林出版社 / 1998-7 / 28.00元,8.6,(33375人评价),澳洲乱世情
,,,,,
刀锋,https://book.douban.com/subject/2035162/,[英]毛姆 / 周煦良 / 上海译文出版社 / 2007-3 / 18.00元,9,(31689人评价),一把刀的锋刃不容易越过；因此智者说得救之道是困难的
,,,,,
哭泣的骆驼,https://book.douban.com/subject/1029111/,三毛 / 哈尔滨出版社 / 2003-6 / 15.80元,8.9,(31641人评价),沙漠中寻常的生与死
,,,,,
孩子你慢慢来,https://book.douban.com/subject/4207781/,龙应台 / 生活·读书·新知三联书店 / 2009-12-1 / 28.00元,8.8,(32235人评价),我们现在怎样做母亲
,,,,,
一只特立独行的猪,https://book.douban.com/subject/1767945/,王小波 / 北方文艺出版社 / 2006-4 / 18.80元,8.8,(32175人评价),生活就是个缓慢受锤的过程，至少还可以特立独行
,,,,,
失恋33天:小说，或是指南,https://book.douban.com/subject/4238754/,鲍鲸鲸 / 中信出版社 / 2010-1 / 25.00元,8.1,(34592人评价),失恋是一种病，痊愈之后百毒不侵
,,,,,
你好，旧时光（上下）,https://book.douban.com/subject/4166819/,八月长安 / 新世界出版社 / 2009-12 / 39.80元,8.8,(30986人评价),原作名切题
,,,,,
梦里花落知多少,https://book.douban.com/subject/2070844/,三毛 / 北京十月文艺出版社 / 2007-6 / 28.00元,8.9,(31097人评价),哀而不伤
,,,,,
格林童话全集,https://book.douban.com/subject/1043008/,格林兄弟 / 魏以新 / 人民文学出版社 / 1994-11 / 21.45元,8.9,(30588人评价),许多隐晦
,,,,,
尘埃落定,https://book.douban.com/subject/1080309/,阿来 / 人民文学出版社 / 1998-3-1 / 22.0,8.4,(32530人评价),一个傻子的土司家族传奇
,,,,,
麦琪的礼物:欧·亨利短篇小说经典,https://book.douban.com/subject/1051193/,[美] 欧·亨利 / 张经浩 / 上海社会科学院出版社 / 2003-7 / 25.00元,8.6,(31764人评价),日常的奇迹
,,,,,
